01 04 20,2353/29474 = 0.080 (8.0%),?,?
02 04 20,2921/33718 = 0.086 (8.6%),569/(5257-7) = 0.108(10.8%),?
03 04 20,3605/38168 = 0.094 (9.4%),684/(4450-7) = 0.15(15%),16387 (6082)
04 04 20,4313/41903 = 0.113 (11.3%),?,?
05 04 20,4934/47806 = 0.103 (10.3%),?,?
06 04 20,5373/51608 = 0.104 (10.4%),?,?
07 04 20,6159/55242 = 0.111 (11.1%),?,?
08 04 20,7097/60733 = 0.117 (11.7%),?,?
09 04 20,7978/65077 = 0.123 (12.3%),?,?
10 04 20,8958/73758 = 0.121 (12.1%),?,?
11 04 20,9875/78991 = 0.125 (12.5%),?,?
12 04 20,10612/84279 = 0.126 (12.6%),?,?
13 04 20,11329/88621 = 0.127 (12.7%),?,?
14 04 20,12107/93873 = 0.129 (12.9%),778/(5257-7) = 0.15(15%),?
15 04 20,12868/98476 = 0.131 (13.1%),761/(4603-7) = 0.17(17%),?
16 04 20,13729/103093 = 0.133 (13.3%),861/(4617-7) = 0.19(19%),?
17 04 20,14576/108692 = 0.134 (13.4%),847/(5599-7) = 0.15(15%),?
18 04 20,15464/114217 = 0.135 (13.5%),888/(5525-7) = 0.16(16%),?
19 04 20,16060/120067 = 0.134 (13.4%),596/(5850-7) = 0.10(10%),?
20 04 20,16509/124743 = 0.132 (13.2%),449/(4676-7) = 0.10(10%),?
21 04 20,17337/129044 = 0.134 (13.4%),828/(4301-7) = 0.132 (19.3%),?
22 04 20,18100/133495 = 0.136 (13.6%),763/(4451-7) = 0.172 (17.2%),?
23 04 20,18738/138078 = 0.136 (13.6%),638/(4483-7) = 0.139 (13.9%),?
24 04 20,19506/143464 = 0.136 (13.6%),768/(5386-7) = 0.143(14.3%),?
25 04 20,20319/148377 = 0.137 (13.7%),813/(4913-7) = 0.166(16.6%),?
26 04 20,20732/152840 = 0.136 (13.6%),413/(4097-7) = 0.10(10%),?
27 04 20,21092/157149 = 0.134 (13.4%),360/(4309-7) = 0.84(8.4%),?
28 04 20,21678/161145 = 0.094 (9.4%),586/(3996-7) = 0.147(14.7%),?
29 04 20,26097/165221 = 0.158 (15.8%),4419/(4076-7) = 1.086(108.6%),?
30 04 20,26771/171253 = 0.156 (15.6%),674/(6032-7) = 0.112(11.2%),?
